Year,Table,County,Birth Weight in Grams,Number of Live Births
2012,11a,Saratoga,2500-2999,282
2012,11a,Saratoga,2000-2499,84
2012,11a,Saratoga,1500-1999,34
2012,11a,Saratoga,1000-1499,14
2012,11a,Saratoga,Under 1000,5
2012,11a,Saratoga,Total,2194
2012,11a,St Lawrence,Not Stated,39
2012,11a,St Lawrence,3500+,487
2012,11a,St Lawrence,3000-3499,432
2012,11a,St Lawrence,2500-2999,199
2012,11a,St Lawrence,2000-2499,52
2012,11a,St Lawrence,1500-1999,16
2012,11a,St Lawrence,1000-1499,12
2012,11a,St Lawrence,Under 1000,13
2012,11a,St Lawrence,Total,1250
2012,11a,Rockland,Not Stated,0
2012,11a,Rockland,3500+,1820
2012,11a,Rockland,3000-3499,1795
2012,11a,Rockland,2500-2999,766
2012,11a,Rockland,2000-2499,129
2012,11a,Rockland,1500-1999,36
2012,11a,Rockland,1000-1499,34
2012,11a,Rockland,Under 1000,13
2012,11a,Rockland,Total,4593
2012,11a,Rensselaer,Not Stated,2
2012,11a,Rensselaer,3500+,632
2012,11a,Rensselaer,3000-3499,588
2012,11a,Rensselaer,2500-2999,261
2012,11a,Rensselaer,2000-2499,69
2012,11a,Rensselaer,1500-1999,24
2012,11a,Rensselaer,1000-1499,11
2012,11a,Rensselaer,Under 1000,11
2012,11a,Rensselaer,Total,1598
2012,11a,Putnam,Not Stated,1
2012,11a,Putnam,3500+,321
2012,11a,Putnam,3000-3499,290
2012,11a,Putnam,2500-2999,137
2012,11a,Putnam,2000-2499,46
2012,11a,Putnam,1500-1999,19
2012,11a,Putnam,1000-1499,7
2012,11a,Putnam,Under 1000,6
2012,11a,Putnam,Total,827
2012,11a,Otsego,Not Stated,1
2012,11a,Otsego,3500+,232
2012,11a,Otsego,3000-3499,178
2012,11a,Otsego,2500-2999,77
2012,11a,Otsego,2000-2499,21
2012,11a,Otsego,1500-1999,3
2012,11a,Otsego,1000-1499,2
2012,11a,Otsego,Under 1000,4
2012,11a,Otsego,Total,518
2012,11a,Oswego,Not Stated,3
2012,11a,Oswego,3500+,525
2012,11a,Oswego,3000-3499,493
2012,11a,Oswego,2500-2999,217
2012,11a,Oswego,2000-2499,65
2012,11a,Oswego,1500-1999,16
2012,11a,Oswego,1000-1499,9
2012,11a,Oswego,Under 1000,7
2012,11a,Oswego,Total,1335
2012,11a,Orleans,Not Stated,1
2012,11a,Orleans,3500+,158
2012,11a,Orleans,3000-3499,147
2012,11a,Orleans,2500-2999,73
2012,11a,Orleans,2000-2499,12
2012,11a,Orleans,1500-1999,3
2012,11a,Orleans,1000-1499,1
2012,11a,Orleans,Under 1000,7
2012,11a,Orleans,Total,402
2012,11a,Orange,Not Stated,0
2012,11a,Orange,3500+,1756
2012,11a,Orange,3000-3499,1839
2012,11a,Orange,2500-2999,778
2012,11a,Orange,2000-2499,229
2012,11a,Orange,1500-1999,49
2012,11a,Orange,1000-1499,39
2012,11a,Orange,Under 1000,34
2012,11a,Orange,Total,4724
2012,11a,Ontario,Not Stated,1
2012,11a,Ontario,3500+,436
2012,11a,Ontario,3000-3499,380
2012,11a,Ontario,2500-2999,163
2012,11a,Ontario,2000-2499,47
2012,11a,Ontario,1500-1999,6
2012,11a,Ontario,1000-1499,2
2012,11a,Ontario,Under 1000,10
2012,11a,Ontario,Total,1045
2012,11a,Onondaga,Not Stated,0
2012,11a,Onondaga,3500+,2075
2012,11a,Onondaga,3000-3499,1985
2012,11a,Onondaga,2500-2999,881
2012,11a,Onondaga,2000-2499,235
2012,11a,Onondaga,1500-1999,72
2012,11a,Onondaga,1000-1499,43
2012,11a,Onondaga,Under 1000,26
2012,11a,Onondaga,Total,5317
2012,11a,Oneida,Not Stated,3
2012,11a,Oneida,3500+,1015
2012,11a,Oneida,3000-3499,939
2012,11a,Oneida,2500-2999,435
2012,11a,Oneida,2000-2499,123
2012,11a,Oneida,1500-1999,49
2012,11a,Oneida,1000-1499,26
2012,11a,Oneida,Under 1000,24
2012,11a,Oneida,Total,2614
2012,11a,Niagara,Not Stated,1
2012,11a,Niagara,3500+,754
2012,11a,Niagara,3000-3499,779
2012,11a,Niagara,2500-2999,384
2012,11a,Niagara,2000-2499,134
