Year,Table,County,Birth Weight in Grams,Number of Live Births
2011,11a,St Lawrence,Not Stated,37
2011,11a,St Lawrence,3500+,465
2011,11a,St Lawrence,3000-3499,472
2011,11a,St Lawrence,2500-2999,196
2011,11a,St Lawrence,2000-2499,51
2011,11a,St Lawrence,1500-1999,17
2011,11a,St Lawrence,1000-1499,10
2011,11a,St Lawrence,Under 1000,6
2011,11a,St Lawrence,Total,1254
2011,11a,Rockland,Not Stated,0
2011,11a,Rockland,3500+,1742
2011,11a,Rockland,3000-3499,1783
2011,11a,Rockland,2500-2999,723
2011,11a,Rockland,2000-2499,185
2011,11a,Rockland,1500-1999,59
2011,11a,Rockland,1000-1499,18
2011,11a,Rockland,Under 1000,25
2011,11a,Rockland,Total,4535
2011,11a,Rensselaer,Not Stated,0
2011,11a,Rensselaer,3500+,708
2011,11a,Rensselaer,3000-3499,601
2011,11a,Rensselaer,2500-2999,285
2011,11a,Rensselaer,2000-2499,80
2011,11a,Rensselaer,1500-1999,31
2011,11a,Rensselaer,1000-1499,10
2011,11a,Rensselaer,Under 1000,15
2011,11a,Rensselaer,Total,1730
2011,11a,Putnam,Not Stated,0
2011,11a,Putnam,3500+,320
2011,11a,Putnam,3000-3499,341
2011,11a,Putnam,2500-2999,143
2011,11a,Putnam,2000-2499,34
2011,11a,Putnam,1500-1999,16
2011,11a,Putnam,1000-1499,8
2011,11a,Putnam,Under 1000,4
2011,11a,Putnam,Total,866
2011,11a,Otsego,Not Stated,1
2011,11a,Otsego,3500+,240
2011,11a,Otsego,3000-3499,191
2011,11a,Otsego,2500-2999,64
2011,11a,Otsego,2000-2499,21
2011,11a,Otsego,1500-1999,3
2011,11a,Otsego,1000-1499,8
2011,11a,Otsego,Under 1000,7
2011,11a,Otsego,Total,535
2011,11a,Oswego,Not Stated,5
2011,11a,Oswego,3500+,553
2011,11a,Oswego,3000-3499,489
2011,11a,Oswego,2500-2999,205
2011,11a,Oswego,2000-2499,64
2011,11a,Oswego,1500-1999,14
2011,11a,Oswego,1000-1499,10
2011,11a,Oswego,Under 1000,8
2011,11a,Oswego,Total,1348
2011,11a,Orleans,Not Stated,2
2011,11a,Orleans,3500+,158
2011,11a,Orleans,3000-3499,150
2011,11a,Orleans,2500-2999,77
2011,11a,Orleans,2000-2499,14
2011,11a,Orleans,1500-1999,6
2011,11a,Orleans,1000-1499,2
2011,11a,Orleans,Under 1000,2
2011,11a,Orleans,Total,411
2011,11a,Orange,Not Stated,2
2011,11a,Orange,3500+,1831
2011,11a,Orange,3000-3499,1866
2011,11a,Orange,2500-2999,776
2011,11a,Orange,2000-2499,205
2011,11a,Orange,1500-1999,68
2011,11a,Orange,1000-1499,43
2011,11a,Orange,Under 1000,44
2011,11a,Orange,Total,4835
2011,11a,Ontario,Not Stated,0
2011,11a,Ontario,3500+,439
2011,11a,Ontario,3000-3499,348
2011,11a,Ontario,2500-2999,152
2011,11a,Ontario,2000-2499,48
2011,11a,Ontario,1500-1999,23
2011,11a,Ontario,1000-1499,8
2011,11a,Ontario,Under 1000,2
2011,11a,Ontario,Total,1020
2011,11a,Onondaga,Not Stated,2
2011,11a,Onondaga,3500+,2124
2011,11a,Onondaga,3000-3499,1930
2011,11a,Onondaga,2500-2999,924
2011,11a,Onondaga,2000-2499,257
2011,11a,Onondaga,1500-1999,84
2011,11a,Onondaga,1000-1499,51
2011,11a,Onondaga,Under 1000,44
2011,11a,Onondaga,Total,5416
2011,11a,Oneida,Not Stated,0
2011,11a,Oneida,3500+,1049
2011,11a,Oneida,3000-3499,960
2011,11a,Oneida,2500-2999,463
2011,11a,Oneida,2000-2499,141
2011,11a,Oneida,1500-1999,47
2011,11a,Oneida,1000-1499,15
2011,11a,Oneida,Under 1000,14
2011,11a,Oneida,Total,2689
2011,11a,Niagara,Not Stated,0
2011,11a,Niagara,3500+,812
2011,11a,Niagara,3000-3499,774
2011,11a,Niagara,2500-2999,377
2011,11a,Niagara,2000-2499,101
2011,11a,Niagara,1500-1999,32
2011,11a,Niagara,1000-1499,19
2011,11a,Niagara,Under 1000,14
2011,11a,Niagara,Total,2129
2011,11a,Nassau,Not Stated,1
2011,11a,Nassau,3500+,4948
2011,11a,Nassau,3000-3499,5462
2011,11a,Nassau,2500-2999,2531
2011,11a,Nassau,2000-2499,733
2011,11a,Nassau,1500-1999,237
2011,11a,Nassau,1000-1499,89
2011,11a,Nassau,Under 1000,78
2011,11a,Nassau,Total,14079
2011,11a,Montgomery,Not Stated,3
2011,11a,Montgomery,3500+,232
2011,11a,Montgomery,3000-3499,203
2011,11a,Montgomery,2500-2999,94
2011,11a,Montgomery,2000-2499,20
2011,11a,Montgomery,1500-1999,10
2011,11a,Montgomery,1000-1499,3
2011,11a,Montgomery,Under 1000,2
2011,11a,Montgomery,Total,567
2011,11a,Monroe,Not Stated,1
2011,11a,Monroe,3500+,3104
2011,11a,Monroe,3000-3499,3092
2011,11a,Monroe,2500-2999,1523
2011,11a,Monroe,2000-2499,433
2011,11a,Monroe,1500-1999,137
2011,11a,Monroe,1000-1499,66
2011,11a,Monroe,Under 1000,71
2011,11a,Monroe,Total,8427
2011,11a,Madison,Not Stated,1
2011,11a,Madison,3500+,321
2011,11a,Madison,3000-3499,233
2011,11a,New York State,Total,239736
2011,11a,Madison,2500-2999,99
2011,11a,Madison,2000-2499,28
2011,11a,Madison,1500-1999,10
2011,11a,Madison,1000-1499,2
2011,11a,Madison,Under 1000,2
2011,11a,Madison,Total,696
2011,11a,Livingston,Not Stated,0
2011,11a,Livingston,3500+,261
2011,11a,Livingston,3000-3499,194
2011,11a,Livingston,2500-2999,93
2011,11a,Livingston,2000-2499,22
2011,11a,Livingston,1500-1999,5
2011,11a,Livingston,1000-1499,0
2011,11a,Livingston,Under 1000,2
2011,11a,Livingston,Total,577
2011,11a,Lewis,Not Stated,5
2011,11a,Lewis,3500+,149
2011,11a,Lewis,3000-3499,113
2011,11a,Lewis,2500-2999,54
2011,11a,Lewis,2000-2499,10
2011,11a,Lewis,1500-1999,1
2011,11a,Lewis,1000-1499,4
2011,11a,Lewis,Under 1000,2
2011,11a,Lewis,Total,338
2011,11a,Jefferson,Not Stated,3
2011,11a,Jefferson,3500+,867
2011,11a,Jefferson,3000-3499,784
2011,11a,Jefferson,2500-2999,321
2011,11a,Jefferson,2000-2499,82
2011,11a,Jefferson,1500-1999,30
2011,11a,Jefferson,1000-1499,14
2011,11a,Jefferson,Under 1000,12
2011,11a,Jefferson,Total,2113
2011,11a,Herkimer,Not Stated,0
2011,11a,Herkimer,3500+,284
2011,11a,Herkimer,3000-3499,241
2011,11a,Herkimer,2500-2999,91
2011,11a,Herkimer,2000-2499,32
2011,11a,Herkimer,1500-1999,5
2011,11a,Herkimer,1000-1499,3
2011,11a,Herkimer,Under 1000,3
2011,11a,Herkimer,Total,659
2011,11a,Hamilton,Not Stated,0
2011,11a,Hamilton,3500+,17
2011,11a,Hamilton,3000-3499,16
2011,11a,Hamilton,2500-2999,5
2011,11a,Hamilton,2000-2499,1
2011,11a,Hamilton,1500-1999,0
2011,11a,Hamilton,1000-1499,0
2011,11a,Hamilton,Under 1000,0
2011,11a,Hamilton,Total,39
2011,11a,Greene,Not Stated,0
2011,11a,Greene,3500+,167
2011,11a,Greene,3000-3499,162
2011,11a,Greene,2500-2999,63
2011,11a,Greene,2000-2499,22
2011,11a,Greene,1500-1999,6
2011,11a,Greene,1000-1499,2
2011,11a,Greene,Under 1000,6
2011,11a,Greene,Total,428
2011,11a,Genesee,Not Stated,0
2011,11a,Genesee,3500+,242
2011,11a,Genesee,3000-3499,238
2011,11a,Genesee,2500-2999,77
2011,11a,Genesee,2000-2499,17
2011,11a,Genesee,1500-1999,4
2011,11a,Genesee,1000-1499,2
2011,11a,Genesee,Under 1000,6
2011,11a,Genesee,Total,586
2011,11a,Fulton,Not Stated,0
2011,11a,Fulton,3500+,251
2011,11a,Fulton,3000-3499,186
2011,11a,Fulton,2500-2999,102
2011,11a,Fulton,2000-2499,23
2011,11a,Fulton,1500-1999,10
2011,11a,Fulton,1000-1499,6
2011,11a,Fulton,Under 1000,6
2011,11a,Fulton,Total,584
2011,11a,Franklin,Not Stated,3
2011,11a,Franklin,3500+,207
2011,11a,Franklin,3000-3499,176
2011,11a,Franklin,2500-2999,77
2011,11a,Franklin,2000-2499,32
2011,11a,Franklin,1500-1999,12
2011,11a,Franklin,1000-1499,4
2011,11a,Franklin,Under 1000,10
2011,11a,Franklin,Total,521
2011,11a,Essex,Not Stated,1
2011,11a,Essex,3500+,117
2011,11a,Essex,3000-3499,110
2011,11a,Essex,2500-2999,67
2011,11a,Essex,2000-2499,14
2011,11a,Essex,1500-1999,3
2011,11a,Essex,1000-1499,1
2011,11a,Essex,Under 1000,1
2011,11a,Essex,Total,314
2011,11a,Erie,Not Stated,19
2011,11a,Erie,3500+,3350
2011,11a,Erie,3000-3499,3832
2011,11a,Erie,2500-2999,1667
2011,11a,Erie,2000-2499,493
2011,11a,Erie,1500-1999,157
2011,11a,Erie,1000-1499,81
2011,11a,Erie,Under 1000,94
2011,11a,Erie,Total,9693
2011,11a,Dutchess,Not Stated,2
2011,11a,Dutchess,3500+,994
2011,11a,Dutchess,3000-3499,1042
2011,11a,Dutchess,2500-2999,414
2011,11a,Dutchess,2000-2499,121
2011,11a,Dutchess,1500-1999,40
2011,11a,Dutchess,1000-1499,19
2011,11a,Dutchess,Under 1000,20
2011,11a,Dutchess,Total,2652
2011,11a,Delaware,Not Stated,0
2011,11a,Delaware,3500+,154
2011,11a,Delaware,3000-3499,141
2011,11a,Delaware,2500-2999,66
2011,11a,Delaware,2000-2499,21
2011,11a,Delaware,1500-1999,5
2011,11a,Delaware,1000-1499,4
2011,11a,Delaware,Under 1000,1
2011,11a,Delaware,Total,392
2011,11a,Cortland,Not Stated,0
2011,11a,Cortland,3500+,187
2011,11a,Cortland,3000-3499,180
2011,11a,Cortland,2500-2999,84
2011,11a,Cortland,2000-2499,17
2011,11a,Cortland,1500-1999,7
2011,11a,Cortland,1000-1499,2
2011,11a,Cortland,Under 1000,4
2011,11a,Cortland,Total,481
2011,11a,Columbia,Not Stated,0
2011,11a,Columbia,3500+,213
2011,11a,Columbia,3000-3499,188
2011,11a,Columbia,2500-2999,102
2011,11a,Columbia,2000-2499,25
2011,11a,Columbia,1500-1999,14
2011,11a,Columbia,1000-1499,2
2011,11a,Columbia,Under 1000,0
2011,11a,Columbia,Total,544
2011,11a,Clinton,Not Stated,0
2011,11a,Clinton,3500+,305
2011,11a,Clinton,3000-3499,287
2011,11a,Clinton,2500-2999,109
2011,11a,Clinton,2000-2499,42
2011,11a,Clinton,1500-1999,14
2011,11a,Clinton,1000-1499,7
2011,11a,Clinton,Under 1000,5
2011,11a,Clinton,Total,769
2011,11a,Chenango,Not Stated,0
2011,11a,Chenango,3500+,214
2011,11a,Chenango,3000-3499,197
2011,11a,Chenango,2500-2999,72
2011,11a,Chenango,2000-2499,22
2011,11a,Chenango,1500-1999,10
2011,11a,Chenango,1000-1499,6
2011,11a,Chenango,Under 1000,4
2011,11a,Chenango,Total,525
2011,11a,Chemung,Not Stated,2
2011,11a,Chemung,3500+,397
2011,11a,Chemung,3000-3499,358
2011,11a,Chemung,2500-2999,190
2011,11a,Chemung,2000-2499,59
2011,11a,Chemung,1500-1999,8
2011,11a,Chemung,1000-1499,5
2011,11a,Chemung,Under 1000,6
2011,11a,Chemung,Total,1025
2011,11a,Chautauqua,Not Stated,33
2011,11a,Chautauqua,3500+,465
2011,11a,Chautauqua,3000-3499,567
2011,11a,Chautauqua,2500-2999,233
2011,11a,Chautauqua,2000-2499,75
2011,11a,Chautauqua,1500-1999,17
2011,11a,Chautauqua,1000-1499,9
2011,11a,Chautauqua,Under 1000,13
2011,11a,Chautauqua,Total,1412
2011,11a,Cayuga,Not Stated,0
2011,11a,Cayuga,3500+,337
2011,11a,Cayuga,3000-3499,304
2011,11a,Cayuga,2500-2999,103
2011,11a,Cayuga,2000-2499,33
2011,11a,Cayuga,1500-1999,13
2011,11a,Cayuga,1000-1499,4
2011,11a,Cayuga,Under 1000,9
2011,11a,Cayuga,Total,803
2011,11a,Cattaraugus,Not Stated,86
2011,11a,Cattaraugus,3500+,285
2011,11a,Cattaraugus,3000-3499,305
2011,11a,Cattaraugus,2500-2999,170
2011,11a,Cattaraugus,2000-2499,32
2011,11a,Cattaraugus,1500-1999,21
2011,11a,Cattaraugus,1000-1499,7
2011,11a,Cattaraugus,Under 1000,5
2011,11a,Cattaraugus,Total,911
2011,11a,Broome,Not Stated,2
2011,11a,Broome,3500+,777
2011,11a,Broome,3000-3499,764
2011,11a,Broome,2500-2999,343
2011,11a,Broome,2000-2499,108
2011,11a,Broome,1500-1999,30
2011,11a,Broome,1000-1499,14
2011,11a,Broome,Under 1000,14
2011,11a,Broome,Total,2052
2011,11a,Allegany,Not Stated,4
2011,11a,Allegany,3500+,191
2011,11a,Allegany,3000-3499,193
2011,11a,Allegany,2500-2999,95
2011,11a,Allegany,2000-2499,27
2011,11a,Allegany,1500-1999,7
2011,11a,Allegany,1000-1499,7
2011,11a,Allegany,Under 1000,2
2011,11a,Allegany,Total,526
2011,11a,Albany,Not Stated,3
2011,11a,Albany,3500+,1217
2011,11a,Albany,3000-3499,1118
2011,11a,Albany,2500-2999,491
2011,11a,Albany,2000-2499,174
2011,11a,Albany,1500-1999,59
2011,11a,Albany,1000-1499,24
2011,11a,Albany,Under 1000,36
2011,11a,Albany,Total,3122
2011,11a,Rest of State,Not Stated,233
2011,11a,Rest of State,3500+,45329
2011,11a,Rest of State,3000-3499,45694
2011,11a,Rest of State,2500-2999,20352
2011,11a,Rest of State,2000-2499,5751
2011,11a,Rest of State,1500-1999,1919
2011,11a,Rest of State,1000-1499,889
2011,11a,Rest of State,Under 1000,850
2011,11a,Rest of State,Total,121017
2011,11a,Richmond,Not Stated,0
2011,11a,Richmond,3500+,1873
2011,11a,Richmond,3000-3499,2199
2011,11a,Richmond,2500-2999,1019
2011,11a,Richmond,2000-2499,277
2011,11a,Richmond,1500-1999,106
2011,11a,Richmond,1000-1499,39
2011,11a,Richmond,Under 1000,31
2011,11a,Richmond,Total,5544
2011,11a,Queens,Not Stated,0
2011,11a,Queens,3500+,9227
2011,11a,Queens,3000-3499,12375
2011,11a,Queens,2500-2999,6273
2011,11a,Queens,2000-2499,1549
2011,11a,Queens,1500-1999,469
2011,11a,Queens,1000-1499,199
2011,11a,Queens,Under 1000,208
2011,11a,Queens,Total,30300
2011,11a,New York,Not Stated,2
2011,11a,New York,3500+,6047
2011,11a,New York,3000-3499,7869
2011,11a,New York,2500-2999,3889
2011,11a,New York,2000-2499,1099
2011,11a,New York,1500-1999,316
2011,11a,New York,1000-1499,155
2011,11a,New York,Under 1000,131
2011,11a,New York,Total,19508
2011,11a,Kings,Not Stated,2
2011,11a,Kings,3500+,12942
2011,11a,Kings,3000-3499,16880
2011,11a,Kings,2500-2999,8431
2011,11a,Kings,2000-2499,2109
2011,11a,Kings,1500-1999,665
2011,11a,Kings,1000-1499,344
2011,11a,Kings,Under 1000,300
2011,11a,Kings,Total,41673
2011,11a,Bronx,Not Stated,1
2011,11a,Bronx,3500+,6349
2011,11a,Bronx,3000-3499,8617
2011,11a,Bronx,2500-2999,4716
2011,11a,Bronx,2000-2499,1240
2011,11a,Bronx,1500-1999,391
2011,11a,Bronx,1000-1499,203
2011,11a,Bronx,Under 1000,177
2011,11a,Bronx,Total,21694
2011,11a,New York City,Not Stated,5
2011,11a,New York City,3500+,36438
2011,11a,New York City,3000-3499,47940
2011,11a,New York City,2500-2999,24328
2011,11a,New York City,2000-2499,6274
2011,11a,New York City,1500-1999,1947
2011,11a,New York City,1000-1499,940
2011,11a,New York City,Under 1000,847
2011,11a,New York City,Total,118719
2011,11a,New York State,Not Stated,238
2011,11a,New York State,3500+,81767
2011,11a,New York State,3000-3499,93634
2011,11a,New York State,2500-2999,44680
2011,11a,New York State,2000-2499,12025
2011,11a,New York State,1500-1999,3866
2011,11a,New York State,1000-1499,1829
2010,11a,Madison,2000-2499,34
2010,11a,New York State,Total,242914
2010,11a,New York State,Under 1000,1789
2010,11a,New York State,1000-1499,1894
2010,11a,New York State,1500-1999,4095
2010,11a,New York State,2000-2499,12132
2010,11a,New York State,2500-2999,45242
2010,11a,New York State,3000-3499,94701
2010,11a,New York State,3500+,82841
2010,11a,New York State,Not Stated,220
2010,11a,New York City,Total,120003
2010,11a,New York City,Under 1000,909
2010,11a,New York City,1000-1499,1002
2010,11a,New York City,1500-1999,2152
2010,11a,New York City,2000-2499,6352
2010,11a,New York City,2500-2999,24525
2010,11a,New York City,3000-3499,48270
2010,11a,New York City,3500+,36791
2010,11a,New York City,Not Stated,2
2010,11a,Bronx,Total,22386
2010,11a,Bronx,Under 1000,229
2010,11a,Bronx,1000-1499,195
2010,11a,Bronx,1500-1999,458
2010,11a,Bronx,2000-2499,1292
2010,11a,Bronx,2500-2999,4713
2010,11a,Bronx,3000-3499,8909
2010,11a,Bronx,3500+,6589
2010,11a,Bronx,Not Stated,1
2010,11a,Kings,Total,41798
2010,11a,Kings,Under 1000,295
2010,11a,Kings,1000-1499,361
2010,11a,Kings,1500-1999,729
2010,11a,Kings,2000-2499,2131
2010,11a,Kings,2500-2999,8494
2010,11a,Kings,3000-3499,16948
2010,11a,Kings,3500+,12839
2010,11a,Kings,Not Stated,1
2010,11a,New York,Total,19731
2010,11a,New York,Under 1000,124
2010,11a,New York,1000-1499,146
2010,11a,New York,1500-1999,335
2010,11a,New York,2000-2499,1103
2010,11a,New York,2500-2999,4021
2010,11a,New York,3000-3499,7925
2010,11a,New York,3500+,6077
2010,11a,New York,Not Stated,0
2010,11a,Queens,Total,30484
2010,11a,Queens,Under 1000,202
2010,11a,Queens,1000-1499,242
2010,11a,Queens,1500-1999,534
2010,11a,Queens,2000-2499,1570
2010,11a,Queens,2500-2999,6268
2010,11a,Queens,3000-3499,12309
2010,11a,Queens,3500+,9359
2010,11a,Queens,Not Stated,0
2010,11a,Richmond,Total,5604
2010,11a,Richmond,Under 1000,59
2010,11a,Richmond,1000-1499,58
2010,11a,Richmond,1500-1999,96
2010,11a,Richmond,2000-2499,256
2010,11a,Richmond,2500-2999,1029
2010,11a,Richmond,3000-3499,2179
2010,11a,Richmond,3500+,1927
2010,11a,Richmond,Not Stated,0
2010,11a,Rest of State,Total,122911
2010,11a,Rest of State,Under 1000,880
2010,11a,Rest of State,1000-1499,892
2010,11a,Rest of State,1500-1999,1943
2010,11a,Rest of State,2000-2499,5780
2010,11a,Rest of State,2500-2999,20717
2010,11a,Rest of State,3000-3499,46431
2010,11a,Rest of State,3500+,46050
2010,11a,Rest of State,Not Stated,218
2010,11a,Albany,Total,3074
2010,11a,Albany,Under 1000,30
2010,11a,Albany,1000-1499,21
2010,11a,Albany,1500-1999,49
2010,11a,Albany,2000-2499,152
2010,11a,Albany,2500-2999,486
2010,11a,Albany,3000-3499,1099
2010,11a,Albany,3500+,1236
2010,11a,Albany,Not Stated,1
2010,11a,Allegany,Total,494
2010,11a,Allegany,Under 1000,1
2010,11a,Allegany,1000-1499,3
2010,11a,Allegany,1500-1999,7
2010,11a,Allegany,2000-2499,26
2010,11a,Allegany,2500-2999,89
2010,11a,Allegany,3000-3499,204
2010,11a,Allegany,3500+,164
2010,11a,Allegany,Not Stated,0
2010,11a,Broome,Total,2048
2010,11a,Broome,Under 1000,16
2010,11a,Broome,1000-1499,24
2010,11a,Broome,1500-1999,30
2010,11a,Broome,2000-2499,104
2010,11a,Broome,2500-2999,334
2010,11a,Broome,3000-3499,773
2010,11a,Broome,3500+,765
2010,11a,Broome,Not Stated,2
2010,11a,Cattaraugus,Total,983
2010,11a,Cattaraugus,Under 1000,2
2010,11a,Cattaraugus,1000-1499,10
2010,11a,Cattaraugus,1500-1999,10
2010,11a,Cattaraugus,2000-2499,39
2010,11a,Cattaraugus,2500-2999,145
2010,11a,Cattaraugus,3000-3499,336
2010,11a,Cattaraugus,3500+,345
2010,11a,Cattaraugus,Not Stated,96
2010,11a,Cayuga,Total,820
2010,11a,Cayuga,Under 1000,3
2010,11a,Cayuga,1000-1499,5
2010,11a,Cayuga,1500-1999,14
2010,11a,Cayuga,2000-2499,37
2010,11a,Cayuga,2500-2999,123
2010,11a,Cayuga,3000-3499,287
2010,11a,Cayuga,3500+,351
2010,11a,Cayuga,Not Stated,0
2010,11a,Chautauqua,Total,1372
2010,11a,Chautauqua,Under 1000,15
2010,11a,Chautauqua,1000-1499,7
2010,11a,Chautauqua,1500-1999,23
2010,11a,Chautauqua,2000-2499,76
2010,11a,Chautauqua,2500-2999,232
2010,11a,Chautauqua,3000-3499,541
2010,11a,Chautauqua,3500+,455
2010,11a,Chautauqua,Not Stated,23
2010,11a,Chemung,Total,1001
2010,11a,Chemung,Under 1000,3
2010,11a,Chemung,1000-1499,9
2010,11a,Chemung,1500-1999,21
2010,11a,Chemung,2000-2499,55
2010,11a,Chemung,2500-2999,144
2010,11a,Chemung,3000-3499,397
2010,11a,Chemung,3500+,371
2010,11a,Chemung,Not Stated,1
2010,11a,Chenango,Total,468
2010,11a,Chenango,Under 1000,2
2010,11a,Chenango,1000-1499,3
2010,11a,Chenango,1500-1999,10
2010,11a,Chenango,2000-2499,17
2010,11a,Chenango,2500-2999,76
2010,11a,Chenango,3000-3499,177
2010,11a,Chenango,3500+,182
2010,11a,Chenango,Not Stated,1
2010,11a,Clinton,Total,839
2010,11a,Clinton,Under 1000,9
2010,11a,Clinton,1000-1499,10
2010,11a,Clinton,1500-1999,7
2010,11a,Clinton,2000-2499,37
2010,11a,Clinton,2500-2999,123
2010,11a,Clinton,3000-3499,309
2010,11a,Clinton,3500+,344
2010,11a,Clinton,Not Stated,0
2010,11a,Columbia,Total,595
2010,11a,Columbia,Under 1000,8
2010,11a,Columbia,1000-1499,2
2010,11a,Columbia,1500-1999,8
2010,11a,Columbia,2000-2499,19
2010,11a,Columbia,2500-2999,97
2010,11a,Columbia,3000-3499,226
2010,11a,Columbia,3500+,228
2010,11a,Columbia,Not Stated,7
2010,11a,Cortland,Total,455
2010,11a,Cortland,Under 1000,4
2010,11a,Cortland,1000-1499,5
2010,11a,Cortland,1500-1999,7
2010,11a,Cortland,2000-2499,20
2010,11a,Cortland,2500-2999,63
2010,11a,Cortland,3000-3499,188
2010,11a,Cortland,3500+,168
2010,11a,Cortland,Not Stated,0
2010,11a,Delaware,Total,459
2010,11a,Delaware,Under 1000,4
2010,11a,Delaware,1000-1499,2
2010,11a,Delaware,1500-1999,2
2010,11a,Delaware,2000-2499,19
2010,11a,Delaware,2500-2999,61
2010,11a,Delaware,3000-3499,180
2010,11a,Delaware,3500+,191
2010,11a,Delaware,Not Stated,0
2010,11a,Dutchess,Total,2867
2010,11a,Dutchess,Under 1000,26
2010,11a,Dutchess,1000-1499,17
2010,11a,Dutchess,1500-1999,35
2010,11a,Dutchess,2000-2499,112
2010,11a,Dutchess,2500-2999,498
2010,11a,Dutchess,3000-3499,1083
2010,11a,Dutchess,3500+,1095
2010,11a,Dutchess,Not Stated,1
2010,11a,Erie,Total,9757
2010,11a,Erie,Under 1000,79
2010,11a,Erie,1000-1499,83
2010,11a,Erie,1500-1999,175
2010,11a,Erie,2000-2499,452
2010,11a,Erie,2500-2999,1743
2010,11a,Erie,3000-3499,3711
2010,11a,Erie,3500+,3508
2010,11a,Erie,Not Stated,6
2010,11a,Essex,Total,337
2010,11a,Essex,Under 1000,4
2010,11a,Essex,1000-1499,2
2010,11a,Essex,1500-1999,1
2010,11a,Essex,2000-2499,14
2010,11a,Essex,2500-2999,55
2010,11a,Essex,3000-3499,110
2010,11a,Essex,3500+,151
2010,11a,Essex,Not Stated,0
2010,11a,Franklin,Total,485
2010,11a,Franklin,Under 1000,4
2010,11a,Franklin,1000-1499,2
2010,11a,Franklin,1500-1999,9
2010,11a,Franklin,2000-2499,31
2010,11a,Franklin,2500-2999,93
2010,11a,Franklin,3000-3499,176
2010,11a,Franklin,3500+,170
2010,11a,Franklin,Not Stated,0
2010,11a,Fulton,Total,555
2010,11a,Fulton,Under 1000,2
2010,11a,Fulton,1000-1499,3
2010,11a,Fulton,1500-1999,6
2010,11a,Fulton,2000-2499,21
2010,11a,Fulton,2500-2999,90
2010,11a,Fulton,3000-3499,222
2010,11a,Fulton,3500+,210
2010,11a,Fulton,Not Stated,1
2010,11a,Genesee,Total,649
2010,11a,Genesee,Under 1000,2
2010,11a,Genesee,1000-1499,3
2010,11a,Genesee,1500-1999,11
2010,11a,Genesee,2000-2499,26
2010,11a,Genesee,2500-2999,102
2010,11a,Genesee,3000-3499,236
2010,11a,Genesee,3500+,268
2010,11a,Genesee,Not Stated,1
2010,11a,Greene,Total,461
2010,11a,Greene,Under 1000,5
2010,11a,Greene,1000-1499,5
2010,11a,Greene,1500-1999,6
2010,11a,Greene,2000-2499,28
2010,11a,Greene,2500-2999,93
2010,11a,Greene,3000-3499,150
2010,11a,Greene,3500+,174
2010,11a,Greene,Not Stated,0
2010,11a,Hamilton,Total,34
2010,11a,Hamilton,Under 1000,0
2010,11a,Hamilton,1000-1499,0
2010,11a,Hamilton,1500-1999,1
2010,11a,Hamilton,2000-2499,1
2010,11a,Hamilton,2500-2999,4
2010,11a,Hamilton,3000-3499,12
2010,11a,Hamilton,3500+,16
2010,11a,Hamilton,Not Stated,0
2010,11a,Herkimer,Total,635
2010,11a,Herkimer,Under 1000,8
2010,11a,Herkimer,1000-1499,3
2010,11a,Herkimer,1500-1999,7
2010,11a,Herkimer,2000-2499,25
2010,11a,Herkimer,2500-2999,86
2010,11a,Herkimer,3000-3499,236
2010,11a,Herkimer,3500+,270
2010,11a,Herkimer,Not Stated,0
2010,11a,Jefferson,Total,2071
2010,11a,Jefferson,Under 1000,18
2010,11a,Jefferson,1000-1499,13
2010,11a,Jefferson,1500-1999,23
2010,11a,Jefferson,2000-2499,78
2010,11a,Jefferson,2500-2999,299
2010,11a,Jefferson,3000-3499,766
2010,11a,Jefferson,3500+,869
2010,11a,Jefferson,Not Stated,5
2010,11a,Lewis,Total,311
2010,11a,Lewis,Under 1000,1
2010,11a,Lewis,1000-1499,2
2010,11a,Lewis,1500-1999,4
2010,11a,Lewis,2000-2499,17
2010,11a,Lewis,2500-2999,56
2010,11a,Lewis,3000-3499,117
2010,11a,Lewis,3500+,110
2010,11a,Lewis,Not Stated,4
2010,11a,Livingston,Total,570
2010,11a,Livingston,Under 1000,1
2010,11a,Livingston,1000-1499,1
2010,11a,Livingston,1500-1999,7
2010,11a,Livingston,2000-2499,29
2010,11a,Livingston,2500-2999,91
2010,11a,Livingston,3000-3499,211
2010,11a,Livingston,3500+,230
2010,11a,Livingston,Not Stated,0
2010,11a,Madison,Total,642
2010,11a,Madison,Under 1000,2
2010,11a,Madison,1000-1499,8
2010,11a,Madison,1500-1999,7
2010,11a,Madison,2500-2999,95
2010,11a,Madison,3000-3499,221
2010,11a,Madison,3500+,275
2010,11a,Madison,Not Stated,0
2010,11a,Monroe,Total,8526
2010,11a,Monroe,Under 1000,76
2010,11a,Monroe,1000-1499,76
2010,11a,Monroe,1500-1999,149
2010,11a,Monroe,2000-2499,424
2010,11a,Monroe,2500-2999,1461
2010,11a,Monroe,3000-3499,3149
2010,11a,Monroe,3500+,3190
2010,11a,Monroe,Not Stated,1
2010,11a,Montgomery,Total,587
2010,11a,Montgomery,Under 1000,4
2010,11a,Montgomery,1000-1499,4
2010,11a,Montgomery,1500-1999,5
2010,11a,Montgomery,2000-2499,34
2010,11a,Montgomery,2500-2999,102
2010,11a,Montgomery,3000-3499,192
2010,11a,Montgomery,3500+,244
2010,11a,Montgomery,Not Stated,2
2010,11a,Nassau,Total,14200
